policy_id,policy_name,policy_tenure,policy_type,risk_category,policy_description,what_covers,what_does_not_cover,base_premium,coverage_amount
1001,Health Secure Basic,1 year,health,very_low,"A health insurance plan built for preferred low-risk customers. It provides structured medical expense protection for hospitalization, emergency care, critical illness support, and ongoing healthcare needs. The Basic variant balances affordability, coverage depth, and access to quality hospital networks.","Covers inpatient hospitalization, ICU charges, doctor consultation during admission, pre and post hospitalization expenses, daycare procedures, ambulance charges, organ donor expenses, select critical illness treatments, cashless hospitalization at network hospitals, diagnostic tests linked to hospitalization, and emergency medical treatment subject to policy terms.","Does not cover cosmetic surgery, self-inflicted injuries, treatment due to substance abuse, non-medically necessary hospitalization, experimental or unapproved procedures, fertility treatment unless specifically added, dental or vision treatment unless caused by accident, and pre-existing diseases during the waiting period.",4500,500000
1002,Health Secure Plus,1 year,health,very_low,"A health insurance plan built for preferred low-risk customers. It provides structured medical expense protection for hospitalization, emergency care, critical illness support, and ongoing healthcare needs. The Plus variant balances affordability, coverage depth, and access to quality hospital networks.","Covers inpatient hospitalization, ICU charges, doctor consultation during admission, pre and post hospitalization expenses, daycare procedures, ambulance charges, organ donor expenses, select critical illness treatments, cashless hospitalization at network hospitals, diagnostic tests linked to hospitalization, and emergency medical treatment subject to policy terms.","Does not cover cosmetic surgery, self-inflicted injuries, treatment due to substance abuse, non-medically necessary hospitalization, experimental or unapproved procedures, fertility treatment unless specifically added, dental or vision treatment unless caused by accident, and pre-existing diseases during the waiting period.",6525,800000
1003,Health Secure Premium,1 year,health,very_low,"A health insurance plan built for preferred low-risk customers. It provides structured medical expense protection for hospitalization, emergency care, critical illness support, and ongoing healthcare needs. The Premium variant balances affordability, coverage depth, and access to quality hospital networks.","Covers inpatient hospitalization, ICU charges, doctor consultation during admission, pre and post hospitalization expenses, daycare procedures, ambulance charges, organ donor expenses, select critical illness treatments, cashless hospitalization at network hospitals, diagnostic tests linked to hospitalization, and emergency medical treatment subject to policy terms.","Does not cover cosmetic surgery, self-inflicted injuries, treatment due to substance abuse, non-medically necessary hospitalization, experimental or unapproved procedures, fertility treatment unless specifically added, dental or vision treatment unless caused by accident, and pre-existing diseases during the waiting period.",9450,1200000
1004,Life Shield Basic,1 year,life,very_low,"A life insurance plan designed for preferred low-risk customers. It protects the policyholder's family from financial hardship in case of death, disability, or terminal illness. The Basic variant offers different levels of payout support, rider flexibility, and long-term family protection.","Covers natural death, accidental death, terminal illness payout, permanent disability benefit if selected, family income replacement, child education support, funeral expense support, loan protection assistance, optional critical illness rider, and nominee payout as per policy terms.","Does not cover fraudulent claims, suicide during exclusion period, death due to criminal activity, death while participating in illegal racing or dangerous unlawful acts, misrepresentation during application, and policies that have lapsed due to non-payment beyond grace period.",4500,500000
1005,Life Shield Plus,1 year,life,very_low,"A life insurance plan designed for preferred low-risk customers. It protects the policyholder's family from financial hardship in case of death, disability, or terminal illness. The Plus variant offers different levels of payout support, rider flexibility, and long-term family protection.","Covers natural death, accidental death, terminal illness payout, permanent disability benefit if selected, family income replacement, child education support, funeral expense support, loan protection assistance, optional critical illness rider, and nominee payout as per policy terms.","Does not cover fraudulent claims, suicide during exclusion period, death due to criminal activity, death while participating in illegal racing or dangerous unlawful acts, misrepresentation during application, and policies that have lapsed due to non-payment beyond grace period.",6525,800000
1006,Life Shield Premium,1 year,life,very_low,"A life insurance plan designed for preferred low-risk customers. It protects the policyholder's family from financial hardship in case of death, disability, or terminal illness. The Premium variant offers different levels of payout support, rider flexibility, and long-term family protection.","Covers natural death, accidental death, terminal illness payout, permanent disability benefit if selected, family income replacement, child education support, funeral expense support, loan protection assistance, optional critical illness rider, and nominee payout as per policy terms.","Does not cover fraudulent claims, suicide during exclusion period, death due to criminal activity, death while participating in illegal racing or dangerous unlawful acts, misrepresentation during application, and policies that have lapsed due to non-payment beyond grace period.",9450,1200000
1007,Motor Guard Basic,1 year,motor,very_low,"A motor insurance plan made for preferred low-risk customers. It protects vehicles from accidental damage, theft, third-party liability, and road emergencies. The Basic variant provides different levels of repair support, add-on flexibility, and claim assistance.","Covers accidental vehicle damage, third-party liability, theft, fire damage, natural calamity damage, flood damage, roadside assistance, towing support, personal accident cover for owner-driver, cashless repairs at network garages, and selected add-ons such as zero depreciation or engine protection depending on plan tier.","Does not cover drunk driving, driving without a valid license, normal wear and tear, mechanical or electrical breakdown without accident, illegal vehicle modifications, private vehicle used commercially without endorsement, and damages outside policy conditions.",4500,500000
1008,Motor Guard Plus,1 year,motor,very_low,"A motor insurance plan made for preferred low-risk customers. It protects vehicles from accidental damage, theft, third-party liability, and road emergencies. The Plus variant provides different levels of repair support, add-on flexibility, and claim assistance.","Covers accidental vehicle damage, third-party liability, theft, fire damage, natural calamity damage, flood damage, roadside assistance, towing support, personal accident cover for owner-driver, cashless repairs at network garages, and selected add-ons such as zero depreciation or engine protection depending on plan tier.","Does not cover drunk driving, driving without a valid license, normal wear and tear, mechanical or electrical breakdown without accident, illegal vehicle modifications, private vehicle used commercially without endorsement, and damages outside policy conditions.",6525,800000
1009,Motor Guard Premium,1 year,motor,very_low,"A motor insurance plan made for preferred low-risk customers. It protects vehicles from accidental damage, theft, third-party liability, and road emergencies. The Premium variant provides different levels of repair support, add-on flexibility, and claim assistance.","Covers accidental vehicle damage, third-party liability, theft, fire damage, natural calamity damage, flood damage, roadside assistance, towing support, personal accident cover for owner-driver, cashless repairs at network garages, and selected add-ons such as zero depreciation or engine protection depending on plan tier.","Does not cover drunk driving, driving without a valid license, normal wear and tear, mechanical or electrical breakdown without accident, illegal vehicle modifications, private vehicle used commercially without endorsement, and damages outside policy conditions.",9450,1200000
1010,Health Secure Basic,1 year,health,low,"A health insurance plan built for low-risk customers. It provides structured medical expense protection for hospitalization, emergency care, critical illness support, and ongoing healthcare needs. The Basic variant balances affordability, coverage depth, and access to quality hospital networks.","Covers inpatient hospitalization, ICU charges, doctor consultation during admission, pre and post hospitalization expenses, daycare procedures, ambulance charges, organ donor expenses, select critical illness treatments, cashless hospitalization at network hospitals, diagnostic tests linked to hospitalization, and emergency medical treatment subject to policy terms.","Does not cover cosmetic surgery, self-inflicted injuries, treatment due to substance abuse, non-medically necessary hospitalization, experimental or unapproved procedures, fertility treatment unless specifically added, dental or vision treatment unless caused by accident, and pre-existing diseases during the waiting period.",9000,1000000
